id,var_name_Jpn,var_name_Eng,columm_letter,address
27,学習率_2016,Learn_rate_2016,AA,https://www.e-stat.go.jp/stat-search/files?page=1&layout=datalist&toukei=00200533&tstat=000001095335&cycle=0&tclass1=000001095377&tclass2=000001095378&tclass3=000001095386&tclass4=000001095387
28,読書率_2016,Read_rate_2016,AB,https://www.e-stat.go.jp/stat-search/files?page=1&layout=datalist&toukei=00200533&tstat=000001095335&cycle=0&tclass1=000001095377&tclass2=000001095378&tclass3=000001095386&tclass4=000001095389
29,人口・世帯_年少人口割合2020,pop_Young_pop_Ratio_2020,AC,https://www.e-stat.go.jp/stat-search/files?page=1&layout=datalist&toukei=00200502&tstat=000001137306&cycle=0&year=20200&month=0&tclass1=000001137307
30,人口・世帯_老年人口割合2020,pop_oldElderly_pop_Ratio_2020,AD,https://www.e-stat.go.jp/stat-search/files?page=1&layout=datalist&toukei=00200502&tstat=000001137306&cycle=0&year=20200&month=0&tclass1=000001137307
31,人口・世帯_生産年齢人口割合2020,pop_Working_Age_pop_Ratio_2020,AE,https://www.e-stat.go.jp/stat-search/files?page=1&layout=datalist&toukei=00200502&tstat=000001137306&cycle=0&year=20200&month=0&tclass1=000001137307
32,人口・世帯_粗死亡率2020,pop_Rough_Mortality_2020,AF,https://www.e-stat.go.jp/stat-search/files?page=1&layout=datalist&toukei=00200502&tstat=000001137306&cycle=0&year=20200&month=0&tclass1=000001137307
33,人口・世帯_共働き世帯割合2020,pop_Double_income_household_ratio_2020,AG,https://www.e-stat.go.jp/stat-search/files?page=1&layout=datalist&toukei=00200502&tstat=000001137306&cycle=0&year=20200&month=0&tclass1=000001137307
34,自然環境_年平均気温,Natural_environment_annual_avg_temperature,AH,https://www.e-stat.go.jp/stat-search/files?page=1&layout=datalist&toukei=00200502&tstat=000001137306&cycle=0&year=20200&month=0&tclass1=000001137307
35,自然環境_年平均相対湿度,Natural_environment_annual_avg_relative_humidity,AI,https://www.e-stat.go.jp/stat-search/files?page=1&layout=datalist&toukei=00200502&tstat=000001137306&cycle=0&year=20200&month=0&tclass1=000001137307
36,自然環境_降水量（年間）,Natural_environment_annual_rain,AJ,https://www.e-stat.go.jp/stat-search/files?page=1&layout=datalist&toukei=00200502&tstat=000001137306&cycle=0&year=20200&month=0&tclass1=000001137307
37,自然環境_雪日数（年間）,Natural_environment_annual_Num_of_snow_days,AK,https://www.e-stat.go.jp/stat-search/files?page=1&layout=datalist&toukei=00200502&tstat=000001137306&cycle=0&year=20200&month=0&tclass1=000001137307
38,経済基盤_県民所得,Economic_pref_income,AL,https://www.e-stat.go.jp/stat-search/files?page=1&layout=datalist&toukei=00200502&tstat=000001137306&cycle=0&year=20200&month=0&tclass1=000001137307
39,行政基盤_財政力指数,Admin_base_Financial_strength_index,AM,https://www.e-stat.go.jp/stat-search/files?page=1&layout=datalist&toukei=00200502&tstat=000001137306&cycle=0&year=20200&month=0&tclass1=000001137307
40,行政基盤_収支比率,Admin_base_balance_ratio,AN,https://www.e-stat.go.jp/stat-search/files?page=1&layout=datalist&toukei=00200502&tstat=000001137306&cycle=0&year=20200&month=0&tclass1=000001137307
41,行政基盤_生活保護費割合（県財政）,Admin_infrastructure_living_protection_cost_ratio_prefectural_finance,AO,https://www.e-stat.go.jp/stat-search/files?page=1&layout=datalist&toukei=00200502&tstat=000001137306&cycle=0&year=20200&month=0&tclass1=000001137307
42,行政基盤_教育費割合（県財政）,Admin_infrastructure_Edu_cost_ratio_prefectural_finance,AP,https://www.e-stat.go.jp/stat-search/files?page=1&layout=datalist&toukei=00200502&tstat=000001137306&cycle=0&year=20200&month=0&tclass1=000001137307
43,教育_最終学歴が大学・大学院卒の者の割合,Edu_Ptc_of_university_graduate_students_with_a_final_academic_background,AQ,https://www.e-stat.go.jp/stat-search/files?page=1&layout=datalist&toukei=00200502&tstat=000001137306&cycle=0&year=20200&month=0&tclass1=000001137307
44,労働_１次産業就業者比率,Labor_primary_industry_emp_ratio,AR,https://www.e-stat.go.jp/stat-search/files?page=1&layout=datalist&toukei=00200502&tstat=000001137306&cycle=0&year=20200&month=0&tclass1=000001137307
45,労働_２次産業就業者比率,Labor_secondary_industry_emp_ratio,AS,https://www.e-stat.go.jp/stat-search/files?page=1&layout=datalist&toukei=00200502&tstat=000001137306&cycle=0&year=20200&month=0&tclass1=000001137307
46,労働_３次産業就業者比率,Labor_tertiary_industry_emp_ratio,AT,https://www.e-stat.go.jp/stat-search/files?page=1&layout=datalist&toukei=00200502&tstat=000001137306&cycle=0&year=20200&month=0&tclass1=000001137307
47,労働_完全失業率,Labor_Unemp_rate,AU,https://www.e-stat.go.jp/stat-search/files?page=1&layout=datalist&toukei=00200502&tstat=000001137306&cycle=0&year=20200&month=0&tclass1=000001137307
48,文化・スポーツ_図書館数（人口100万人当たり）,Num_of_libraries,AV,https://www.e-stat.go.jp/stat-search/files?page=1&layout=datalist&toukei=00200502&tstat=000001137306&cycle=0&year=20200&month=0&tclass1=000001137307
49,健康・医療_一般診療所数(可住地面積100k㎡当たり),Num_of_general_clinics,AW,https://www.e-stat.go.jp/stat-search/files?page=1&layout=datalist&toukei=00200502&tstat=000001137306&cycle=0&year=20200&month=0&tclass1=000001137307
50,文化・スポーツ_スポーツの行動者率,Sports_Participant_Rate,AX,https://www.e-stat.go.jp/stat-search/files?page=1&layout=datalist&toukei=00200502&tstat=000001137306&cycle=0&year=20200&month=0&tclass1=000001137307
51,文化・スポーツ_旅行・行楽行動者率,Travel_Rate1,AY,https://www.e-stat.go.jp/stat-search/files?page=1&layout=datalist&toukei=00200502&tstat=000001137306&cycle=0&year=20200&month=0&tclass1=000001137307
52,居住_持ち家比率,Residence_owner_ratio,AZ,https://www.e-stat.go.jp/stat-search/files?page=1&layout=datalist&toukei=00200502&tstat=000001137306&cycle=0&year=20200&month=0&tclass1=000001137307
53,居住_一戸建住宅比率,Residence_house_ratio,BA,https://www.e-stat.go.jp/stat-search/files?page=1&layout=datalist&toukei=00200502&tstat=000001137306&cycle=0&year=20200&month=0&tclass1=000001137307
54,居住_上水道給水人口比率,Residence_water_supply_pop_ratio,BB,https://www.e-stat.go.jp/stat-search/files?page=1&layout=datalist&toukei=00200502&tstat=000001137306&cycle=0&year=20200&month=0&tclass1=000001137307
55,居住_下水道普及比率,Residence_sewerage_ratio,BC,https://www.e-stat.go.jp/stat-search/files?page=1&layout=datalist&toukei=00200502&tstat=000001137306&cycle=0&year=20200&month=0&tclass1=000001137307
56,文化・スポーツ_ボランティア活動行動者率,Volunteer_Activity_Participant_Rate,BD,https://www.e-stat.go.jp/stat-search/files?page=1&layout=datalist&toukei=00200502&tstat=000001137306&cycle=0&year=20200&month=0&tclass1=000001137307
57,居住_都市公園面積（人口１人当たり）,Residential_city_park_area_per_pop,BE,https://www.e-stat.go.jp/stat-search/files?page=1&layout=datalist&toukei=00200502&tstat=000001137306&cycle=0&year=20200&month=0&tclass1=000001137307
58,居住_都市公園数(可住地面積100k㎡当たり),Residence_Num_of_city_parks,BF,https://www.e-stat.go.jp/stat-search/files?page=1&layout=datalist&toukei=00200502&tstat=000001137306&cycle=0&year=20200&month=0&tclass1=000001137307
59,健康・医療_一般病院数(可住地面積100k㎡当たり),HM_Num_of_general_hospitals,BG,https://www.e-stat.go.jp/stat-search/files?page=1&layout=datalist&toukei=00200502&tstat=000001137306&cycle=0&year=20200&month=0&tclass1=000001137307
60,居住_主要道路舗装率,Residence_road_pavement_rate,BH,https://www.e-stat.go.jp/stat-search/files?page=1&layout=datalist&toukei=00200502&tstat=000001137306&cycle=0&year=20200&month=0&tclass1=000001137307
61,居住_市町村舗装率,Residence_simachi_pavement_rate,BI,https://www.e-stat.go.jp/stat-search/files?page=1&layout=datalist&toukei=00200502&tstat=000001137306&cycle=0&year=20200&month=0&tclass1=000001137307
62,健康・医療_一般歯科診療所数（人口10万人当たり）,HM_Num_of_general_dental_clinics_per_100k_pop,BJ,https://www.e-stat.go.jp/stat-search/files?page=1&layout=datalist&toukei=00200502&tstat=000001137306&cycle=0&year=20200&month=0&tclass1=000001137307
63,健康・医療_医療施設に従事する医師数（人口10万人当たり）,HM_Num_of_doctors_engaged_in_medical_facilities_per_100k_pop,BK,https://www.e-stat.go.jp/stat-search/files?page=1&layout=datalist&toukei=00200502&tstat=000001137306&cycle=0&year=20200&month=0&tclass1=000001137307
64,健康・医療_保健師数（人口10万人当たり）,HM_Num_of_public_health_nurses_per_100k_pop,BL,https://www.e-stat.go.jp/stat-search/files?page=1&layout=datalist&toukei=00200502&tstat=000001137306&cycle=0&year=20200&month=0&tclass1=000001137307
65,安全_交通事故発生件数（人口10万人当たり）,Safety_Num_of_traffic_accidents_per_100k_pop,BM,https://www.e-stat.go.jp/stat-search/files?page=1&layout=datalist&toukei=00200502&tstat=000001137306&cycle=0&year=20200&month=0&tclass1=000001137307
66,家計_実収入（一世帯当たり１か月）,Household_actual_income,BN,https://www.e-stat.go.jp/stat-search/files?page=1&layout=datalist&toukei=00200502&tstat=000001137306&cycle=0&year=20200&month=0&tclass1=000001137307
67,家計_消費支出（一世帯当たり１か月）,Household_consumption_expenditure,BO,https://www.e-stat.go.jp/stat-search/files?page=1&layout=datalist&toukei=00200502&tstat=000001137306&cycle=0&year=20200&month=0&tclass1=000001137307
68,家計_教育費割合（対消費支出）,Household_Edu_cost_ratio,BP,https://www.e-stat.go.jp/stat-search/files?page=1&layout=datalist&toukei=00200502&tstat=000001137306&cycle=0&year=20200&month=0&tclass1=000001137307
69,家計_教養娯楽費割合（対消費支出）,Household_Liberal_Arts_and_Entertainment_Expenditure_Ratio,BQ,https://www.e-stat.go.jp/stat-search/files?page=1&layout=datalist&toukei=00200502&tstat=000001137306&cycle=0&year=20200&month=0&tclass1=000001137307
70,家計_貯蓄現在高,Household_Savings,BR,https://www.e-stat.go.jp/stat-search/files?page=1&layout=datalist&toukei=00200502&tstat=000001137306&cycle=0&year=20200&month=0&tclass1=000001137307
71,家計_スマートフォン所有数量（千世帯当たり）,Household_Smartphone_ownership_quantity,BS,https://www.e-stat.go.jp/stat-search/files?page=1&layout=datalist&toukei=00200502&tstat=000001137306&cycle=0&year=20200&month=0&tclass1=000001137307
72,家計_パソコン所有数量（千世帯当たり）,Household_PC_ownership_quantity,BT,https://www.e-stat.go.jp/stat-search/files?page=1&layout=datalist&toukei=00200502&tstat=000001137306&cycle=0&year=20200&month=0&tclass1=000001137307
73,家計_自動車所有数量（千世帯当たり）,Household_Car_ownership_quantity,BU,https://www.e-stat.go.jp/stat-search/files?page=1&layout=datalist&toukei=00200502&tstat=000001137306&cycle=0&year=20200&month=0&tclass1=000001137307
74,家計_タブレット端末所有数量（千世帯当たり）,Household_Tablet_terminal_Ownership_quantity,BV,https://www.e-stat.go.jp/stat-search/files?page=1&layout=datalist&toukei=00200502&tstat=000001137306&cycle=0&year=20200&month=0&tclass1=000001137307
75,人口・世帯_高齢単身者世帯の割合,pop_Household_Ratio_of_elderly_single_person_households,BW,https://www.e-stat.go.jp/stat-search/files?page=1&layout=datalist&toukei=00200502&tstat=000001137306&cycle=0&year=20200&month=0&tclass1=000001137307
76,スポーツ総行動率,Sports_Activity_rate,BX,https://www.e-stat.go.jp/stat-search/files?page=1&layout=datalist&toukei=00200533&tstat=000001095335&cycle=0&tclass1=000001095377&tclass2=000001095378&tclass3=000001095386&tclass4=000001095388&stat_infid=000031593455&tclass5val=0
77,スポーツ総行動率-器具を使ったトレーニング,Sports_Activity_Rate_Training_with_Equipment,BY,https://www.e-stat.go.jp/stat-search/files?page=1&layout=datalist&toukei=00200533&tstat=000001095335&cycle=0&tclass1=000001095377&tclass2=000001095378&tclass3=000001095386&tclass4=000001095388&stat_infid=000031593455&tclass5val=0
78,スポーツ行動率−ウォーキング,Sports_Activity_rate_walking,BZ,https://www.e-stat.go.jp/stat-search/files?page=1&layout=datalist&toukei=00200533&tstat=000001095335&cycle=0&tclass1=000001095377&tclass2=000001095378&tclass3=000001095386&tclass4=000001095388&stat_infid=000031593455&tclass5val=0
79,旅行・行楽−旅行・行楽・観光総行動率,Travel_Traveling_Tourism_Activity_Rate,CA,https://www.e-stat.go.jp/stat-search/files?page=1&layout=datalist&toukei=00200533&tstat=000001095335&cycle=0&tclass1=000001095377&tclass2=000001095378&tclass3=000001095386&tclass4=000001095391
80,旅行・行楽−旅行率,Travel_Rate,CB,https://www.e-stat.go.jp/stat-search/files?page=1&layout=datalist&toukei=00200533&tstat=000001095335&cycle=0&tclass1=000001095377&tclass2=000001095378&tclass3=000001095386&tclass4=000001095391
81,旅行・行楽−行楽率,Traveling_rate,CC,https://www.e-stat.go.jp/stat-search/files?page=1&layout=datalist&toukei=00200533&tstat=000001095335&cycle=0&tclass1=000001095377&tclass2=000001095378&tclass3=000001095386&tclass4=000001095391
82,旅行・行楽−観光率,Tourism_Rate,CD,https://www.e-stat.go.jp/stat-search/files?page=1&layout=datalist&toukei=00200533&tstat=000001095335&cycle=0&tclass1=000001095377&tclass2=000001095378&tclass3=000001095386&tclass4=000001095391
83,ボランティア総行動率−総数,Volunteer_Activity_Rate_total,CE,https://www.e-stat.go.jp/stat-search/files?page=1&layout=datalist&toukei=00200533&tstat=000001095335&cycle=0&tclass1=000001095377&tclass2=000001095378&tclass3=000001095386&tclass4=000001095390
84,ボランティア総行動率−まちづくり活動,Volunteer_town_development,CF,https://www.e-stat.go.jp/stat-search/files?page=1&layout=datalist&toukei=00200533&tstat=000001095335&cycle=0&tclass1=000001095377&tclass2=000001095378&tclass3=000001095386&tclass4=000001095390
85,ボランティア総行動率−国際協力活動,Volunteer_International_Cooperation,CG,https://www.e-stat.go.jp/stat-search/files?page=1&layout=datalist&toukei=00200533&tstat=000001095335&cycle=0&tclass1=000001095377&tclass2=000001095378&tclass3=000001095386&tclass4=000001095390
86,ボランティア総行動率−健康や医療サービスに関係した活動,Volunteer_health_and_medical,CH,https://www.e-stat.go.jp/stat-search/files?page=1&layout=datalist&toukei=00200533&tstat=000001095335&cycle=0&tclass1=000001095377&tclass2=000001095378&tclass3=000001095386&tclass4=000001095390
87,ボランティア総行動率−高齢者を対象とした活動,Volunteer_for_the_Elderly,CI,https://www.e-stat.go.jp/stat-search/files?page=1&layout=datalist&toukei=00200533&tstat=000001095335&cycle=0&tclass1=000001095377&tclass2=000001095378&tclass3=000001095386&tclass4=000001095390
88,ボランティア総行動率−障害者を対象とした活動,Volunteer_for_Persons_with_Disabilities,CJ,https://www.e-stat.go.jp/stat-search/files?page=1&layout=datalist&toukei=00200533&tstat=000001095335&cycle=0&tclass1=000001095377&tclass2=000001095378&tclass3=000001095386&tclass4=000001095390
89,ボランティア総行動率−子供を対象とした活動,Volunteer_for_Children,CK,https://www.e-stat.go.jp/stat-search/files?page=1&layout=datalist&toukei=00200533&tstat=000001095335&cycle=0&tclass1=000001095377&tclass2=000001095378&tclass3=000001095386&tclass4=000001095390
90,趣味・娯楽−趣味娯楽総行動率,Hobbies_Total,CL,https://www.e-stat.go.jp/stat-search/files?page=1&layout=datalist&toukei=00200533&tstat=000001095335&cycle=0&tclass1=000001095377&tclass2=000001095378&tclass3=000001095386&tclass4=000001095389
91,趣味・娯楽−園芸・庭いじり・ガーデニング,Hobbies_Gardening,CM,https://www.e-stat.go.jp/stat-search/files?page=1&layout=datalist&toukei=00200533&tstat=000001095335&cycle=0&tclass1=000001095377&tclass2=000001095378&tclass3=000001095386&tclass4=000001095389
92,趣味・娯楽−スポーツ観覧,Hobbies_Sports_View,CN,https://www.e-stat.go.jp/stat-search/files?page=1&layout=datalist&toukei=00200533&tstat=000001095335&cycle=0&tclass1=000001095377&tclass2=000001095378&tclass3=000001095386&tclass4=000001095389
93,趣味・娯楽−読書,Hobbies_Read,CO,https://www.e-stat.go.jp/stat-search/files?page=1&layout=datalist&toukei=00200533&tstat=000001095335&cycle=0&tclass1=000001095377&tclass2=000001095378&tclass3=000001095386&tclass4=000001095389
94,自己啓発・訓練−学習・自己啓発・訓練率,Self_development_rate,CP,https://www.e-stat.go.jp/stat-search/files?page=1&layout=datalist&toukei=00200533&tstat=000001095335&cycle=0&tclass1=000001095377&tclass2=000001095378&tclass3=000001095386&tclass4=000001095387
95,自己啓発・訓練−芸術・文化,Self_development_art_culture,CQ,https://www.e-stat.go.jp/stat-search/files?page=1&layout=datalist&toukei=00200533&tstat=000001095335&cycle=0&tclass1=000001095377&tclass2=000001095378&tclass3=000001095386&tclass4=000001095387
96,自己啓発・訓練−英語,Self_development_Eng,CR,https://www.e-stat.go.jp/stat-search/files?page=1&layout=datalist&toukei=00200533&tstat=000001095335&cycle=0&tclass1=000001095377&tclass2=000001095378&tclass3=000001095386&tclass4=000001095387
97,自己啓発・訓練−英語以外の外国語,Self_development_languages_other_than_Eng,CS,https://www.e-stat.go.jp/stat-search/files?page=1&layout=datalist&toukei=00200533&tstat=000001095335&cycle=0&tclass1=000001095377&tclass2=000001095378&tclass3=000001095386&tclass4=000001095387
98,自己啓発・訓練−パソコンなどの情報処理,Self_development_PC_etc,CT,https://www.e-stat.go.jp/stat-search/files?page=1&layout=datalist&toukei=00200533&tstat=000001095335&cycle=0&tclass1=000001095377&tclass2=000001095378&tclass3=000001095386&tclass4=000001095387
99,ボランティア活動−安全な生活のための活動,Volunteer_for_Life_Safe,CU,https://www.e-stat.go.jp/stat-search/files?page=1&layout=datalist&toukei=00200533&tstat=000001095335&cycle=0&tclass1=000001095377&tclass2=000001095378&tclass3=000001095386&tclass4=000001095390&tclass5val=0
100,ボランティア活動−自然や環境の活動,Volunteer_environmental_activities,CV,https://www.e-stat.go.jp/stat-search/files?page=1&layout=datalist&toukei=00200533&tstat=000001095335&cycle=0&tclass1=000001095377&tclass2=000001095378&tclass3=000001095386&tclass4=000001095390&tclass5val=0
101,ボランティア活動−災害活動,Volunteer_disaster_activities,CW,https://www.e-stat.go.jp/stat-search/files?page=1&layout=datalist&toukei=00200533&tstat=000001095335&cycle=0&tclass1=000001095377&tclass2=000001095378&tclass3=000001095386&tclass4=000001095390&tclass5val=0
102,高血圧疾患_入院2014年,Hypertension_Hospitalization_2014,CX,https://www.e-stat.go.jp/stat-search/files?page=1&layout=datalist&toukei=00450022&tstat=000001031167&cycle=7&tclass1=000001124800&tclass2=000001124802&stat_infid=000031790697&tclass3val=0
103,高血圧疾患_外来2014年,Hypertension_Outpatient_2014,CY,https://www.e-stat.go.jp/stat-search/files?page=1&layout=datalist&toukei=00450022&tstat=000001031167&cycle=7&tclass1=000001124800&tclass2=000001124802&stat_infid=000031790697&tclass3val=0
104,糖尿病_入院2014年,Diabetes_hospitalization_2014,CZ,https://www.e-stat.go.jp/stat-search/files?page=1&layout=datalist&toukei=00450022&tstat=000001031167&cycle=7&tclass1=000001124800&tclass2=000001124802&stat_infid=000031790697&tclass3val=0
105,糖尿病_外来2014年,Diabetes_Outpatient_2014,DA,https://www.e-stat.go.jp/stat-search/files?page=1&layout=datalist&toukei=00450022&tstat=000001031167&cycle=7&tclass1=000001124800&tclass2=000001124802&stat_infid=000031790697&tclass3val=0
106,脳血管疾患_年齢調整死亡率2015,Cerebrovascular_mortality_2015,DB,https://www.e-stat.go.jp/stat-search/files?page=1&layout=datalist&toukei=00450013&tstat=000001102115&cycle=7&year=20150&month=0
107,悪性新生物(胃)_年齢調整死亡率2015,Malignant_neoplasm_stomach_mortality_rate_2015,DC,https://www.e-stat.go.jp/stat-search/files?page=1&layout=datalist&toukei=00450013&tstat=000001102115&cycle=7&year=20150&month=0&tclass1val=0
108,悪性新生物(大腸)_年齢調整死亡率2015,Malignant_neoplasm_intestine_mortality_rate_2015,DD,https://www.e-stat.go.jp/stat-search/files?page=1&layout=datalist&toukei=00450013&tstat=000001102115&cycle=7&year=20150&month=0
109,悪性新生物(肝及び肝内胆管)_年齢調整死亡率2015,Malignant_neoplasm_liver_mortality_rate_2015,DE,https://www.e-stat.go.jp/stat-search/files?page=1&layout=datalist&toukei=00450013&tstat=000001102115&cycle=7&year=20150&month=0&tclass1val=0
110,悪性新生物(気管、気管支及び肺)_年齢調整死亡率2015,Malignant_neoplasm_lungs_mortality_2015,DF,https://www.e-stat.go.jp/stat-search/files?page=1&layout=datalist&toukei=00450013&tstat=000001102115&cycle=7&year=20150&month=0&tclass1val=0
111,悪性新生物(乳房)_年齢調整死亡率2015,Malignant_neoplasm_breast_mortality_rate_2015,DG,https://www.e-stat.go.jp/stat-search/files?page=1&layout=datalist&toukei=00450013&tstat=000001102115&cycle=7&year=20150&month=0&tclass1val=0
112,悪性新生物(子宮)_年齢調整死亡率2015,Malignant_neoplasm_uterus_mortality_rate_2015,DH,https://www.e-stat.go.jp/stat-search/files?page=1&layout=datalist&toukei=00450013&tstat=000001102115&cycle=7&year=20150&month=0&tclass1val=0
113,心疾患_年齢調整死亡率2015,Heart_dz_mortality_2015,DI,https://www.e-stat.go.jp/stat-search/files?page=1&layout=datalist&toukei=00450013&tstat=000001102115&cycle=7&year=20150&month=0&tclass1val=0
114,肺炎_年齢調整死亡率2015,Pneumonia_mortality_2015,DJ,https://www.e-stat.go.jp/stat-search/files?page=1&layout=datalist&toukei=00450013&tstat=000001102115&cycle=7&year=20150&month=0&tclass1val=0
115,急性心筋梗塞_年齢調整死亡率2015,Acute_myocardial_infarction_mortality_2015,DK,https://www.e-stat.go.jp/stat-search/files?page=1&layout=datalist&toukei=00450013&tstat=000001102115&cycle=7&year=20150&month=0&tclass1val=0
116,血圧を下げる薬の使用_回答・はい(40〜64歳)2014,Use_blood_pressure_binary_2014,DL,https://www.mhlw.go.jp/stf/seisakunitsuite/bunya/0000177221_00008.html
117,インシュリン注射、血糖を下げる薬の使用_回答・はい(40〜74歳)2014,Use_Insulin_binary_2014,DM,https://www.mhlw.go.jp/stf/seisakunitsuite/bunya/0000177221_00008.html
118,コレステロールを下げる薬の使用_回答・はい(40〜74歳)2014,Use_Cholesterol_binary_2014,DN,https://www.mhlw.go.jp/stf/seisakunitsuite/bunya/0000177221_00008.html
119,就寝前の2時間以内に夕食_回答・はい(40〜74歳)2014,Eat_within_2_hours_before_sleep_binary_2014,DO,https://www.mhlw.go.jp/stf/seisakunitsuite/bunya/0000177221_00008.html
120,日常生活において歩行等の身体活動(1日1時間以上実施)_回答・はい(40〜74歳)2014,Physical_activity_walking_binary_2014,DP,https://www.mhlw.go.jp/stf/seisakunitsuite/bunya/0000177221_00008.html
121,軽く汗をかく運動週2回_回答・はい(40〜74歳)2014,Sweat_exercise_twice_a_week_binary_2014,DQ,https://www.mhlw.go.jp/stf/seisakunitsuite/bunya/0000177221_00008.html
122,"喫煙率(計100本以上,6ヵ月以上&直近1ヵ月)_回答・はい(40〜74歳)2014",Smoking_over_100_binary_2014,DR,https://www.mhlw.go.jp/stf/seisakunitsuite/bunya/0000177221_00008.html
123,20歳に比べて10kg体重増加.回答_はい(40〜74歳)2014,Gain_10kg_Wt_compared_to_20yr_binary_2014,DS,https://www.mhlw.go.jp/stf/seisakunitsuite/bunya/0000177221_00008.html
124,歩く速度が速い(同年齢と比較).回答_はい(40〜74歳)2014,Fast_Walking_compared_to_the_same_age_binary_2014,DT,https://www.mhlw.go.jp/stf/seisakunitsuite/bunya/0000177221_00008.html
125,飲酒日1日当たり2合以上飲む割合(頻度)_回答・はい(40〜74歳)2014,Drinking_2_or_more_per_day_binary_2014,DU,https://www.mhlw.go.jp/stf/seisakunitsuite/bunya/0000177221_00008.html
126,毎日酒を飲む割合(頻度)_回答・はい(40〜74歳)2014,Drinking_everyday_binary_2014,DV,https://www.mhlw.go.jp/stf/seisakunitsuite/bunya/0000177221_00008.html
127,睡眠休養が十分とれている.回答_はい(40〜74歳)2014,Enough_sleep_binary_2014,DW,https://www.mhlw.go.jp/stf/seisakunitsuite/bunya/0000177221_00008.html
128,朝食を抜くことが週3回ある.回答_はい(40〜74歳)2014,Skip_breakfast_three_times_a_week_binary_2014,DX,https://www.mhlw.go.jp/stf/seisakunitsuite/bunya/0000177221_00008.html
